  PID TTY           TIME CMD
  564 ??         0:12.72 /System/Library/PrivateFrameworks/UserActivity.framewo
  565 ??         0:00.02 /System/Library/PrivateFrameworks/IMFoundation.framewo
  566 ??         0:25.75 /usr/libexec/sharingd
  567 ??         0:00.18 /System/Library/PrivateFrameworks/IMFoundation.framewo
  568 ??        15:56.17 /Applications/Google Chrome.app/Contents/Frameworks/Go
  569 ??         0:03.23 /System/Library/PrivateFrameworks/CoreParsec.framework
  570 ??         0:00.73 /Applications/Utilities/Adobe Sync/CoreSync/Core Sync.
  571 ??         0:00.16 /System/Library/PrivateFrameworks/CommerceKit.framewor
  572 ??        21:02.98 /Applications/Google Chrome.app/Contents/Frameworks/Go
  576 ??         0:00.62 /System/Library/PrivateFrameworks/AppSSO.framework/Sup
  577 ??         0:00.03 /Applications/Google Chrome.app/Contents/Frameworks/Go
  578 ??         0:00.26 /System/Library/PrivateFrameworks/MediaRemote.framewor
  580 ??         0:00.33 /System/Library/CoreServices/pbs
  581 ??         0:00.74 /System/Library/CoreServices/Dock.app/Contents/XPCServ
  582 ??         0:00.59 /System/Library/PrivateFrameworks/Categories.framework
  585 ??         0:10.43 /Applications/Google Chrome.app/Contents/Frameworks/Go
  588 ??         0:00.26 /System/Library/Frameworks/AudioToolbox.framework/XPCS
  589 ??         0:00.03 /usr/libexec/WiFiVelocityAgent
  590 ??         0:00.01 /System/Library/PrivateFrameworks/login.framework/Vers
  592 ??         0:05.11 /System/Library/PrivateFrameworks/AmbientDisplay.frame
  593 ??         0:03.04 /usr/libexec/wifivelocityd
  595 ??         0:02.04 /System/Library/PrivateFrameworks/CommerceKit.framewor
  596 ??         0:03.21 /System/Library/CoreServices/ScopedBookmarkAgent
  599 ??         0:00.19 /usr/libexec/neagent
  600 ??         0:00.06 /System/Library/CoreServices/NotificationCenter.app/Co
  601 ??         0:00.41 /System/Library/PrivateFrameworks/Categories.framework
  602 ??         0:00.92 /System/Library/PrivateFrameworks/CallHistory.framewor
  605 ??         0:00.06 /System/Library/PrivateFrameworks/CoreFollowUp.framewo
  606 ??         0:00.43 /System/Library/PrivateFrameworks/WeatherKit.framework
  607 ??         0:00.42 /usr/libexec/rtcreportingd
  611 ??         0:00.64 /System/Library/PrivateFrameworks/FamilyCircle.framewo
  614 ??         0:03.13 /System/Library/CoreServices/LocationMenu.app/Contents
  615 ??         0:01.30 /usr/libexec/fmfd
  616 ??         0:00.19 /System/Library/PrivateFrameworks/IMFoundation.framewo
  617 ??         0:00.25 /System/Library/Frameworks/InputMethodKit.framework/Re
  618 ??         0:04.10 /System/Library/Frameworks/QuickLookThumbnailing.frame
  619 ??         0:01.11 /usr/sbin/spindump
  620 ??         0:02.72 /System/Library/Input Methods/PressAndHold.app/Content
  621 ??         0:03.25 /System/Library/Input Methods/EmojiFunctionRowIM.app/C
  622 ??         0:00.04 /System/Library/PrivateFrameworks/CharacterPicker.fram
  625 ??         0:01.23 /System/Library/CoreServices/CoreLocationAgent.app/Con
